index,keyword,new_keyword,content,label
1,发疯,发岚,啊啊啊啊发岚,0
2,发疯,发岚,直接开始发岚,0
3,发疯,发岚, 我要发岚 为什么我们不在东北读书,0
4,发疯,发岚, 评论区真的笑疯了抖音现在的评论区怎么都在发岚,0
5,发疯,发岚,我想问一下，怎么样在别人发岚的时候，做到不伤害不刺激对方地发岚,0
6,发疯,发岚,一位大姐看我的主页，我就日常发岚，他就开始批判起了我,0
7,发疯,发岚,不正常吗25年 是我我还要滚地尖叫发岚跪地吐白沫疯狂上下跳然后在晕倒在地,0
8,发疯,发岚,我妈一直都只会歇斯底里的叫 喊 发岚我怎么能奢望让她理解我 根本没有说出口的机会,0
9,发疯,发岚,姐姐你的风格好奇怪啊 不是甜美风不是元气风不是拽姐风不是纯欲风不是欧美风 而是我见了会发岚,1
10,发疯,发岚,对于想要追求的人根本无法正常的社交哇，就是会很害羞在阴暗的角落发岚x根本没有办法在现实生活去正视她….对于单纯想要做朋友的女孩子反而比较放得开，夸赞的话就会脱口而出。啊啊啊啊啊啊啊不活了,0
11,发疯,发岚,有没有那种发癫群最近真的很想发岚就是群里各聊各的，在发岚,0
12,发疯,发岚,要是我儿子我会发岚的,0
13,发疯,发岚,真假先不说，文化差异真的会让人发岚的,0
14,发疯,发岚,有没有那种发岚的群啊，我想发岚,0
15,发疯,发岚,她不发岚，好美啊,0
16,发疯,发岚,自己活该的！人要珍惜自己，发岚有什么用,0
17,发疯,发岚,在看着姐姐发岚,1
18,发疯,发岚,"暑假工：
1.陪聊
2.情绪垃圾桶
3.叫醒服务（我也起不来）
4.每天道早晚安
5.可以一起打游戏（啥都打不好）
听你吐槽
本人男（但是我有点病希望你们能忍一下，有下单意向的老板可以私信要我发岚实录）
在线等老板",0
19,发疯,发岚,你想要一个会发岚的女朋友吗,1
20,发疯,发岚,这婆娘，又孬，又泼，又发岚，何该，何该，打轻了，打轻了。,1
21,发疯,发岚,     🐟（发岚版     ,0
23,母驴,𣫭驴,丈𣫭驴,1
104,你妈,你冯,嗯，你不就是你冯辛苦养大送到别人家给别人养老送终吗,1
105,你妈,你冯,哔哔哔什么呢？你冯彩礼没要吗？拿了彩礼孩子就该跟女方姓。,0
106,你妈,你冯,我一个男的都觉得没问题你冯收了人家女的彩礼那你就得受这气,0
107,你妈,你冯,你冯有精神病,1
108,你妈,你冯,你冯一个叛徒,1
109,你妈,你冯,看下东西，叫你冯偷完了，鞋子也偷了,1
110,你妈,你冯,我就喜欢这样有骨气的女人，美女你冯是生在福中不知福，有这么孝顺的女婿不晓得珍惜，美女为你老公出口气是对的你是明理的人，为你点赞,0
111,你妈,你冯,看看你冯在干嘛,0
112,你妈,你冯,你冯的烦死,0
113,你妈,你冯,我想看看你冯妈,0
114,你妈,你冯,我好奇你冯妈,1
115,你妈,你冯,你冯妈是很幸运的,0
116,你妈,你冯,还有吗？给你冯留一个,1
117,你妈,你冯,就没看到你冯,0
118,你妈,你冯,我想见你冯妈,1
119,你妈,你冯,你冯妈口味一定很重你外公外婆应该不知道怎么,1
120,你妈,你冯,这样的老婆不能要了他妈什么你冯就不是妈了,1
121,你妈,你冯,你冯是妈，他妈也是妈，人人都有妈，百善孝为先支持,0
122,你妈,你冯,是你冯不是他妈,1
123,你妈,你冯,说的很对！小杰太磨叽了！他妈妈和嫂子也事多死了，现在不存在上门不上门，反正都是要工作在外边！自己住，只是名意的怕什么呢！真是没钱还自大，空手套白狼！你以后守着你冯和嫂子过吧！,1
124,你妈,你冯,类女做的真对你冯眼中无人看不起你老公受到其视上门女胥以是人应该同等对待你冯真狠心这样的妈就应叫他自已去生活每月实当补助桌钱叫他自已生话玄支持美女贊,1
125,你妈,你冯,如果你的婆婆也像你冯对女婿。你会原谅吗,0
126,你妈,你冯,这个婆婆啊，和你冯妈是一路人,0
127,你妈,你冯,你冯妈这会儿已经哭晕在厕所了，去看看吧。,1
128,你妈,你冯,小颖，你冯妈做得好过份哦,1
129,你妈,你冯,你冯的我怎么在照镜子,1
130,你妈,你冯,把你冯吓一大跳,0
131,你妈,你冯,你对你冯，好吗，,1
132,你妈,你冯,柴火我拉8车，孩子跟你家姓，你问问你冯行不，不行我也能改,1
133,你妈,你冯,让你冯对小杰好点,0
134,你妈,你冯,啥时候跟你冯妈也说阿姨我不想努力了哈哈哈,1
135,你妈,你冯,你带一个那么大的儿子，你冯还那样，真的不知道你家哪来的自信，建议放过小杰。男人的青春浪费不起,1
136,你妈,你冯,小颖带阿斌和你冯分家住吗，小颖你娘大坏了开口就是上门老，阿斌个性好是好，要是个性不的早回老家了。,1
137,你妈,你冯,你冯再胡来你可能和小杰拜拜,1
138,你妈,你冯,你冯真的很爱你，你没心没肺妈妈苦苦承受不舍得那种,0
139,你妈,你冯,你冯妈是富贵眼睛,1
140,你妈,你冯,你冯那不是幼稚，那是一颗爱孩子的父母心，你是自私的追求自己的爱情不后悔，可父母从此见你的日子屈指可数，你爸妈白养你这个孩子了，自私至极,0
141,你妈,你冯,以后买一辆给你冯去买菜,0
142,你妈,你冯,"爸爸说的话～对一半，也错一半
你冯妈守住一个中国人持家的根本～俭以养德",0
143,你妈,你冯,嗲哒桌子一轩，克你冯妈男女男   别,1
144,你妈,你冯,你冯听到看到很好解决,1
145,你妈,你冯,你冯教你的,1
146,你妈,你冯,这丈母娘可以退货了以前经常看你们的作品，现在看都烦，你冯就是一个坦白痞子。,1
147,你妈,你冯,幼稚？？？？？你是咋想到这个词的，妈妈不是因为舍不得你嘛，你冯听见肯定寒心死了,0
148,你妈,你冯,你冯你爸很无奈,1
149,你妈,你冯,现在不是你逞能的时候，也不是你小的时候，如果你一意孤行，世界上没有买后悔药，你是自己自找的，怪不得别人，听你冯，你哥你嫂子，你永远和倩倩成不了一家人。说明你是个永远长不大的小孩子，不配拥有婚姻,1
150,你妈,你冯,"那是你冯自己生不出儿子，所以把恨
都恨在你老公身上了",1
151,你妈,你冯,美女听你这一说你冯想钱,1
152,你妈,你冯,你爸你冯喜不喜欢不要紧，只有你喜欢就行了你口味独特,0
153,你妈,你冯,你问问小杰挣了多少彩礼了？不行，让你冯跟他少要点儿彩礼不就得了,0
154,你妈,你冯,问问你冯，还要儿子不？,1
155,你妈,你冯,强子，你冯太偏心了，我还是喜欢看你对小雪好的片子,0
156,你妈,你冯,小杰，你就不应该有媳妇，一个人自由，想干嘛干嘛，也不用上门，，你太自私，从没替倩倩想，只为你和你家人想了，没看看自己什么条件，还挑三拣四的，有倩倩这么好的条件你还这样就是比倩倩条件差你也应该知足，别老想着空手掏白狼错过倩倩你有可能找不到媳妇，听你冯你的家人你只能害了你自己，你也别影响人家倩倩了，赶快分手，这样你要把人家倩倩毁了呀，别老想自己，替人家倩倩想想吧，到太自私了,0
157,你妈,你冯,你是不后悔，你冯后悔呀，哪个父母年龄大了都希望自由的孩子留在身边，何况你是嫁国外,1
158,你妈,你冯,相信你冯妈千万个妈妈中的一个正常妈妈的反应 你男朋友妈妈真的是1千w万个妈妈中才能遇到一个的妈妈.理解她 相信如果换做是我 我儿子去做这些 我都会接受不了,0
159,你妈,你冯,你冯有手有脚自己干嘛不动,1
160,你妈,你冯,叫你冯也改嫁过去吧！,1
161,你妈,你冯,你冯说儿子妈眼不好使我怎么光看见你呢,1
162,你妈,你冯,跟你冯长腻好像,1
163,你妈,你冯,小颖，你冯又在做什么，白罗布都舍不得唉，太过份了,0
164,你妈,你冯,当时你冯妈不和你说一个月的话,1
165,你妈,你冯,没良心了 你爹你冯 不要养他俩 你跟你老公回你老公家 这就对了 带着孩子一家去 这才对,1
166,你妈,你冯,你冯妈太务实啦，美女做的对,0
167,你妈,你冯,美女，你冯这样对你，你不要管他喽,0
168,你妈,你冯,往好处想，最起码你冯不用起早贪黑伺候你了,1
169,你妈,你冯, 静脉血你冯来了,1
170,你妈,你冯,放开小贤吧，让他跟那个女人结婚吧，你冯妈不同意,0
171,你妈,你冯,小颖做得对，把你冯赶走，这样你在心痛他，你冯太坏了，让他走你妹妹那里去。等到你也不幸福啊,0
172,你妈,你冯,你家有你哥呢，你有啥放不下心的，就是上了门还不照样管你冯吗,0
173,你妈,你冯,同性才是真爱爱你冯,1
174,你妈,你冯,你爸你冯不好回答？因为看不见她！,1
175,你妈,你冯,我要你冯,1
176,你妈,你冯,宝贝，是你冯妈做得她们太过了，爸爸也是个男子汉啊。,0
177,你妈,你冯,你冯已经气晕了,1
178,你妈,你冯,这女的是你冯？还是你媳妇，还是你妹妹？都不是你就是随便一张照片造黄谣呗,1
179,你妈,你冯,急啥呢？很多还不如呢，有的六万八万要全家命，甚至更低，见过一万一彩礼陪嫁给三十万的，男的还指挥女的，态度很差，房车都是婚前财产，老人没义务带孩子不假，坐月子还说让你冯来我妈为啥伺候？,0
180,你妈,你冯,         你冯 小黑框是同吗,1
181,你妈,你冯,你冯的一点骨气都没有，给老人几块钱还偷偷摸摸的，这样你对得起谁,1
182,你妈,你冯,别回来，真的给你冯省钱了,1
183,你妈,你冯,妹子你冯活该背时,1
184,你妈,你冯,好着呢！带回家和你冯共赏。因为你很优秀！,0
185,你妈,你冯,就这房子上你冯哪门子的门啊图个鸡毛啊,1
186,你妈,你冯,强子你冯太坏了。,1
187,你妈,你冯,你冯那么年轻啊,0
